#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-10-31T13:27:53 [V7.294]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.294	
#INFO	-ref=VIZ635fcc46e287c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-nav=cat:J/AJ/158/109&tab:{J/AJ/158/109/table2}&key:source=J/AJ/158/109/table2&HTTPPRM:&&-ref=VIZ635fcc46e287c&-out.max=unlimited&-out.form=ascii table&-out.all=2&-order=I&-oc.form=dec&-out.src=J/AJ/158/109/table2&-out=b_Per&-out=B_Per&-out=b_Rad&-out=B_Rad&-out=l_fVett&-out=fVett&-out=e_fVett&-out=E_fVett&-out=l_fNoVett&-out=fNoVett&-out=e_fNoVett&-out=E_fNoVett&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/AJ/158/109/table2
#-source=J/AJ/158/109/table2
#-out=b_Per
#-out=B_Per
#-out=b_Rad
#-out=B_Rad
#-out=l_fVett
#-out=fVett
#-out=e_fVett
#-out=E_fVett
#-out=l_fNoVett
#-out=fNoVett
#-out=e_fNoVett
#-out=E_fNoVett
#

#RESOURCE=yCat_51580109
#Name: J/AJ/158/109
#Title: Occurrence rates of planets orbiting FGK stars (Hsu+, 2019)
#Table	J_AJ_158_109_table2:
#Name: J/AJ/158/109/table2
#Title: Inferred planet occurrence rates
#Column	b_Per	(F6.2)	[0.5/256] Period range, lower value	[ucd=time.period;stat.min]
#Column	B_Per	(F6.2)	[1/500] Period range, upper value	[ucd=time.period;stat.max]
#Column	b_Rad	(F5.2)	[0.5/12] Planet radius range, lower value	[ucd=phys.size.radius;stat.min]
#Column	B_Rad	(F5.2)	[0.75/16] Planet radius range, upper value	[ucd=phys.size.radius;stat.max]
#Column	l_fVett	(A1)	[<] Limit flag on fVett	[ucd=meta.code.error]
#Column	fVett	(E10.3)	[0.00015/0.93] Occurrence rate based on combined detection and vetting efficiency model (1)	[ucd=stat.fit.param]
#Column	e_fVett	(E9.2)	[0.0001/0.096]? Lower limit uncertainty in fVett	[ucd=stat.error;stat.min]
#Column	E_fVett	(E10.3)	[0.00014/0.119]? Upper limit uncertainty in fVett	[ucd=stat.error;stat.max]
#Column	l_fNoVett	(A1)	[<] Limit flag on fNoVett	[ucd=meta.code.error]
#Column	fNoVett	(E11.4)	[0.00016/0.95] Occurrence rate based on no vetting efficiency model (1)	[ucd=stat.fit.param]
#Column	e_fNoVett	(E10.3)	[0.00013/0.075]? Lower limit uncertainty in fNoVett	[ucd=stat.error;stat.min]
#Column	E_fNoVett	(E10.3)	[9.5e-05/0.089]? Upper limit uncertainty in fNoVett	[ucd=stat.error;stat.max]
b_Per	B_Per	b_Rad	B_Rad	l_fVett	fVett	e_fVett	E_fVett	l_fNoVett	fNoVett	e_fNoVett	E_fNoVett
  4.00	  8.00	 0.50	 0.75	 	 9.200e-02	 2.90e-02	 2.200e-02	 	 7.6000e-02	 2.600e-02	 3.100e-02
  4.00	  8.00	 0.75	 1.00	 	 3.180e-02	 7.30e-03	 1.320e-02	 	 2.9000e-02	 9.700e-03	 7.700e-03
  4.00	  8.00	 1.00	 1.25	 	 2.400e-02	 4.50e-03	 7.000e-03	 	 2.2600e-02	 5.200e-03	 6.600e-03
  4.00	  8.00	 1.25	 1.50	 	 1.910e-02	 5.00e-03	 4.300e-03	 	 1.9300e-02	 4.800e-03	 7.000e-03
  4.00	  8.00	 1.50	 1.75	 	 1.400e-02	 4.00e-03	 4.400e-03	 	 1.3800e-02	 4.100e-03	 4.000e-03
  4.00	  8.00	 1.75	 2.00	 	 6.900e-03	 3.30e-03	 4.700e-03	 	 7.0000e-03	 3.200e-03	 5.200e-03
  4.00	  8.00	 2.00	 2.50	 	 1.030e-02	 2.80e-03	 3.900e-03	 	 1.0700e-02	 3.200e-03	 3.000e-03
  4.00	  8.00	 2.50	 3.00	 	 1.100e-02	 3.00e-03	 2.800e-03	 	 1.1000e-02	 3.000e-03	 2.700e-03
  4.00	  8.00	 3.00	 4.00	 	 3.200e-03	 1.80e-03	 1.900e-03	 	 3.6000e-03	 1.800e-03	 2.200e-03
  4.00	  8.00	 4.00	 6.00	 	 1.540e-03	 1.02e-03	 8.000e-04	 	 1.4900e-03	 7.400e-04	 7.600e-04
  4.00	  8.00	 6.00	 8.00	 	 6.100e-04	 3.70e-04	 4.000e-04	 	 5.7000e-04	 4.200e-04	 5.600e-04
  4.00	  8.00	 8.00	12.00	 	 1.170e-03	 5.40e-04	 8.700e-04	 	 1.1900e-03	 6.000e-04	 8.400e-04
  4.00	  8.00	12.00	16.00	 	 1.650e-03	 5.90e-04	 1.050e-03	 	 1.7500e-03	 7.100e-04	 8.400e-04
  8.00	 16.00	 0.50	 0.75	 	 6.600e-02	 3.30e-02	 5.900e-02	 	 5.4000e-02	 2.900e-02	 3.500e-02
  8.00	 16.00	 0.75	 1.00	 	 5.200e-02	 1.30e-02	 1.400e-02	 	 4.8100e-02	 7.700e-03	 1.330e-02
  8.00	 16.00	 1.00	 1.25	 	 3.360e-02	 9.40e-03	 1.180e-02	 	 2.9000e-02	 4.800e-03	 7.900e-03
  8.00	 16.00	 1.25	 1.50	 	 3.560e-02	 7.40e-03	 8.400e-03	 	 3.2500e-02	 9.200e-03	 7.800e-03
  8.00	 16.00	 1.50	 1.75	 	 1.710e-02	 6.20e-03	 9.100e-03	 	 1.6400e-02	 5.500e-03	 7.800e-03
  8.00	 16.00	 1.75	 2.00	 	 1.290e-02	 6.20e-03	 5.300e-03	 	 1.2900e-02	 5.900e-03	 7.200e-03
  8.00	 16.00	 2.00	 2.50	 	 3.090e-02	 8.00e-03	 8.200e-03	 	 3.1800e-02	 5.600e-03	 5.300e-03
  8.00	 16.00	 2.50	 3.00	 	 2.650e-02	 4.50e-03	 4.300e-03	 	 2.6300e-02	 5.300e-03	 4.800e-03
  8.00	 16.00	 3.00	 4.00	 	 7.000e-03	 3.20e-03	 3.800e-03	 	 7.2000e-03	 3.800e-03	 3.500e-03
  8.00	 16.00	 4.00	 6.00	 	 3.500e-03	 1.70e-03	 1.500e-03	 	 3.9000e-03	 1.700e-03	 2.500e-03
  8.00	 16.00	 6.00	 8.00	 	 1.070e-03	 7.00e-04	 1.120e-03	 	 1.0960e-03	 4.500e-04	 9.500e-05
  8.00	 16.00	 8.00	12.00	 	 1.580e-03	 7.30e-04	 7.400e-04	 	 1.4500e-03	 6.000e-04	 1.590e-03
  8.00	 16.00	12.00	16.00	 	 1.020e-03	 6.60e-04	 7.200e-04	 	 9.7000e-04	 6.200e-04	 6.400e-04
 16.00	 32.00	 0.50	 0.75	<	 1.400e-01	         	          	<	 1.1000e-01	          	
 16.00	 32.00	 0.75	 1.00	 	 8.700e-02	 2.90e-02	 2.500e-02	 	 7.2000e-02	 1.400e-02	 2.000e-02
 16.00	 32.00	 1.00	 1.25	 	 3.400e-02	 1.60e-02	 1.500e-02	 	 3.0000e-02	 1.400e-02	 1.700e-02
 16.00	 32.00	 1.25	 1.50	 	 2.470e-02	 8.30e-03	 2.570e-02	 	 2.5200e-02	 1.000e-02	 7.400e-03
 16.00	 32.00	 1.50	 1.75	 	 2.400e-02	 6.80e-03	 8.200e-03	 	 2.2800e-02	 2.600e-03	 3.000e-03
 16.00	 32.00	 1.75	 2.00	 	 5.500e-03	 3.30e-03	 5.300e-03	 	 5.1000e-03	 3.200e-03	 5.400e-03
 16.00	 32.00	 2.00	 2.50	 	 5.460e-02	 8.90e-03	 1.110e-02	 	 5.4000e-02	 1.200e-02	 1.000e-02
 16.00	 32.00	 2.50	 3.00	 	 3.880e-02	 6.80e-03	 7.900e-03	 	 3.8000e-02	 7.000e-03	 1.060e-02
 16.00	 32.00	 3.00	 4.00	 	 2.070e-02	 3.90e-03	 5.900e-03	 	 2.1400e-02	 6.200e-03	 6.000e-03
 16.00	 32.00	 4.00	 6.00	 	 4.600e-03	 2.80e-03	 4.400e-03	 	 3.4000e-03	 1.600e-03	 2.800e-03
 16.00	 32.00	 6.00	 8.00	 	 2.800e-03	 1.10e-03	 1.700e-03	 	 2.6000e-03	 1.800e-03	 1.700e-03
 16.00	 32.00	 8.00	12.00	 	 2.100e-03	 1.10e-03	 1.500e-03	 	 1.9000e-03	 1.000e-03	 1.400e-03
 16.00	 32.00	12.00	16.00	 	 2.580e-03	 1.23e-03	 6.700e-04	 	 2.6000e-03	 1.600e-03	 2.100e-03
 32.00	 64.00	 0.50	 0.75	<	 4.100e-01	         	          	<	 2.5000e-01	          	
 32.00	 64.00	 0.75	 1.00	 	 4.100e-02	 2.30e-02	 4.000e-02	 	 3.7000e-02	 2.500e-02	 4.900e-02
 32.00	 64.00	 1.00	 1.25	 	 6.000e-02	 2.50e-02	 2.700e-02	 	 5.1000e-02	 1.900e-02	 2.600e-02
 32.00	 64.00	 1.25	 1.50	 	 9.500e-03	 6.30e-03	 1.130e-02	 	 8.4000e-03	 5.500e-03	 9.600e-03
 32.00	 64.00	 1.50	 1.75	 	 1.440e-02	 7.00e-03	 1.110e-02	 	 1.3300e-02	 9.000e-03	 8.500e-03
 32.00	 64.00	 1.75	 2.00	 	 2.300e-02	 1.20e-02	 1.100e-02	 	 2.1000e-02	 1.200e-02	 1.100e-02
 32.00	 64.00	 2.00	 2.50	 	 5.000e-02	 1.20e-02	 1.500e-02	 	 4.8000e-02	 1.200e-02	 1.500e-02
 32.00	 64.00	 2.50	 3.00	 	 6.600e-02	 1.30e-02	 1.400e-02	 	 6.2000e-02	 1.300e-02	 1.500e-02
 32.00	 64.00	 3.00	 4.00	 	 2.070e-02	 7.60e-03	 9.000e-03	 	 2.0900e-02	 7.900e-03	 1.010e-02
 32.00	 64.00	 4.00	 6.00	 	 4.600e-03	 2.60e-03	 3.100e-03	 	 4.0000e-03	 2.400e-03	 2.800e-03
 32.00	 64.00	 6.00	 8.00	 	 5.000e-03	 2.50e-03	 3.000e-03	 	 5.0000e-03	 2.300e-03	 2.800e-03
 32.00	 64.00	 8.00	12.00	 	 2.800e-03	 1.70e-03	 2.700e-03	 	 2.7000e-03	 1.900e-03	 2.400e-03
 32.00	 64.00	12.00	16.00	 	 5.700e-03	 1.90e-03	 2.800e-03	 	 5.2000e-03	 2.000e-03	 3.100e-03
 64.00	128.00	 0.50	 0.75	<	 9.300e-01	         	          	<	 9.5000e-01	          	
 64.00	128.00	 0.75	 1.00	<	 2.200e-01	         	          	<	 1.7000e-01	          	
 64.00	128.00	 1.00	 1.25	 	 9.800e-02	 4.90e-02	 6.300e-02	 	 7.6000e-02	 3.500e-02	 5.600e-02
 64.00	128.00	 1.25	 1.50	 	 1.800e-02	 1.30e-02	 2.000e-02	 	 1.2400e-02	 9.500e-03	 1.750e-02
 64.00	128.00	 1.50	 1.75	 	 2.800e-02	 1.80e-02	 2.300e-02	 	 2.5000e-02	 1.400e-02	 2.100e-02
 64.00	128.00	 1.75	 2.00	 	 2.000e-02	 1.20e-02	 1.800e-02	 	 1.8000e-02	 1.100e-02	 1.400e-02
 64.00	128.00	 2.00	 2.50	 	 6.200e-02	 1.90e-02	 2.100e-02	 	 5.5000e-02	 1.600e-02	 1.900e-02
 64.00	128.00	 2.50	 3.00	 	 3.900e-02	 1.70e-02	 1.400e-02	 	 3.7000e-02	 1.400e-02	 2.100e-02
 64.00	128.00	 3.00	 4.00	 	 3.600e-02	 1.10e-02	 1.300e-02	 	 3.3500e-02	 8.900e-03	 1.210e-02
 64.00	128.00	 4.00	 6.00	 	 1.480e-02	 6.60e-03	 6.200e-03	 	 1.4000e-02	 5.200e-03	 6.800e-03
 64.00	128.00	 6.00	 8.00	 	 4.800e-03	 2.90e-03	 3.800e-03	 	 4.8000e-03	 2.500e-03	 4.700e-03
 64.00	128.00	 8.00	12.00	 	 8.600e-03	 4.30e-03	 4.300e-03	 	 8.6000e-03	 3.500e-03	 4.300e-03
 64.00	128.00	12.00	16.00	 	 4.900e-03	 3.30e-03	 4.300e-03	 	 4.2000e-03	 2.300e-03	 4.300e-03
128.00	256.00	 0.50	 0.75	<	 9.100e-01	         	          	<	 9.4000e-01	          	
128.00	256.00	 0.75	 1.00	<	 5.300e-01	         	          	<	 4.5000e-01	          	
128.00	256.00	 1.00	 1.25	<	 2.000e-01	         	          	<	 1.9000e-01	          	
128.00	256.00	 1.25	 1.50	<	 9.800e-02	         	          	<	 6.4000e-02	          	
128.00	256.00	 1.50	 1.75	 	 3.900e-02	 2.40e-02	 2.000e-02	 	 3.2000e-02	 2.000e-02	 2.400e-02
128.00	256.00	 1.75	 2.00	 	 2.500e-02	 2.00e-02	 2.400e-02	 	 1.9000e-02	 1.300e-02	 2.100e-02
128.00	256.00	 2.00	 2.50	 	 6.200e-02	 2.90e-02	 2.600e-02	 	 5.5000e-02	 2.000e-02	 2.800e-02
128.00	256.00	 2.50	 3.00	 	 7.500e-02	 2.10e-02	 2.400e-02	 	 6.5000e-02	 2.300e-02	 2.100e-02
128.00	256.00	 3.00	 4.00	 	 3.000e-02	 1.70e-02	 1.900e-02	 	 2.8000e-02	 1.100e-02	 1.600e-02
128.00	256.00	 4.00	 6.00	 	 1.050e-02	 5.40e-03	 7.400e-03	 	 9.6000e-03	 5.500e-03	 8.100e-03
128.00	256.00	 6.00	 8.00	 	 9.900e-03	 3.90e-03	 9.300e-03	 	 9.7000e-03	 5.200e-03	 5.500e-03
128.00	256.00	 8.00	12.00	 	 2.090e-02	 8.00e-03	 9.600e-03	 	 1.9000e-02	 6.500e-03	 6.200e-03
128.00	256.00	12.00	16.00	<	 7.900e-03	         	          	<	 5.9000e-03	          	
256.00	500.00	 0.50	 0.75	<	 7.900e-01	         	          	<	 8.2000e-01	          	
256.00	500.00	 0.75	 1.00	<	 6.000e-01	         	          	<	 5.7000e-01	          	
256.00	500.00	 1.00	 1.25	<	 3.500e-01	         	          	<	 3.4000e-01	          	
256.00	500.00	 1.25	 1.50	<	 2.300e-01	         	          	<	 1.6000e-01	          	
256.00	500.00	 1.50	 1.75	 	 1.660e-01	 9.60e-02	 1.190e-01	 	 1.2800e-01	 7.500e-02	 8.900e-02
256.00	500.00	 1.75	 2.00	 	 1.590e-01	 8.30e-02	 1.020e-01	 	 1.1200e-01	 6.600e-02	 8.200e-02
256.00	500.00	 2.00	 2.50	 	 5.900e-02	 3.60e-02	 5.400e-02	 	 4.1000e-02	 2.700e-02	 3.800e-02
256.00	500.00	 2.50	 3.00	 	 1.000e-01	 3.80e-02	 5.900e-02	 	 7.6000e-02	 3.900e-02	 3.300e-02
256.00	500.00	 3.00	 4.00	 	 3.400e-02	 2.00e-02	 2.400e-02	 	 2.7000e-02	 1.700e-02	 2.400e-02
256.00	500.00	 4.00	 6.00	 	 3.200e-02	 1.50e-02	 1.500e-02	 	 2.6000e-02	 1.500e-02	 2.100e-02
256.00	500.00	 6.00	 8.00	<	 2.200e-02	         	          	<	 1.7000e-02	          	
256.00	500.00	 8.00	12.00	 	 2.100e-02	 1.10e-02	 1.500e-02	 	 1.6200e-02	 7.000e-03	 1.070e-02
256.00	500.00	12.00	16.00	<	 2.000e-02	         	          	<	 1.5000e-02	          	

